"Term","Definition"
"What three components does Microsoft Copilot combine","LLMs, Microsoft Graph, Work IQ"
"Purpose of LLMs in Copilot","They understand and generate natural language. Lets Copilot draft, summarize, and reason."
"Purpose of Microsoft Graph in Copilot","Provides organizational data and work content, so things like emails, documents, calendars, chats, and meetings."
"Purpose of Work IQ in Copilot","Acts as the intelligence layer that grounds Copilot in your work context (your work, relationships, and patterns) so that responses are aligned with how you and the organization work."
"Does Work IQ just search your files with a keyword search?","No, it goes beyond that by understanding your role, relationships, and working patterns."
"--- Module 1: Draft and Refine business content using Microsoft Copilot ---","-"
"Combining Copilots 3 components (LLMs, Microsoft Graph, Work IQ) provide what type of responses?","personalized and context-aware responses"
"Read. Ex of Work IQ","For example, if you frequently collaborate with a colleague on quarterly reports, Work IQ helps Copilot surface their recent documents when you ask for project context, without you having to specify where to look."
"Copilot can reason over content beyond Microsoft 365 if what is set up?","Copilot connectors"
"What do Copilot connectors do?","Bring external system data (e.g., Salesforce, ServiceNow, and Jira) into Microsoft Graph so that Copilot can reason across even more sources."
"Who configures Copilot connectors?","Admins"
"How can Copilot help during content creation?","It can create outlines and drafts, refine language, and polish formatting (improving tone, clarity, and coherence)."
"What can Copilot use to create a draft?","A prompt or a few key points"
"Can Copilot use organizational knowledge in creating a draft?","Yes. It can include relevant data, references, and organizational knowledge."
"Work vs Web grounded data?","Work-grounded data refers to internal organizational content. Web-grounded data draws from public internet sources via Bing search."
"Work or Web grounded data for the following scenario: You need current external information and industry trends.","Web-grounded data"
"Work or Web grounded data for the following scenario: You need information based on your emails and meetings.","Work-grounded data"
"A key to getting the best responses from Copilot is to _______ on your prompts to adjust tone, length, or focus.","A key to getting the best responses from Copilot is to iterate on your prompts to adjust tone, length, or focus."
"How can Copilot refine existing text in Word?","Select the text and describe the required changes."
"Do you need to manually track sources when using Copilot?","No. Copilot can automatically include citations in drafted content and can add references inline when it draws from work files or web sources."
"How does Copilot connectors improve Work IQ?","Allows it to reason over more data, specifically external-system data alongside Microsoft 365 content."
"Are you good to use Work IQ-generated insights as-is without reviewing them? What should be done before using these insights?","No. You should verify that the referenced people, documents, and records are relevant and current."
"How can you convert existing text into a table with Copilot in Word?","1. Select the text. 2. Choose ""Visualize as a Table"" or ask Copilot to convert it."
"Copilot can also be used in PowerPoint to draft content. How many sources files can be referenced when creating a presentation?","up to 5"
"What file types can be referenced in Copilot PowerPoint(Hint: 2 Microsoft files, 2 general files)","Word, PDF, Excel, and text files"
"Is Copilot PowerPoint only for drawing new decks?","No, it can also be used in existing decks and can summarize, answer questions, or add/expand content."
"When should you use Copilot Create instead of inline image generation?","When you want polished, standalone assets like banners, social posts, or videos."
"In Copilot Create, what must an organization enable for Copilot video creation?","Microsoft Clipchamp"
"What can Copilot generate in a new Outlook email?","A complete email draft for you to review and refine"
"How can Copilot help with a long email thread?","It can summarize the thread and draft a new email based on that summary."
"What does ""Get Coaching"" do in Outlook email?","Before sending your email, you can get suggestions on tone, clarity, and reader sentiment improvements. You can choose which suggestions to apply individually."
"What two things help you to get the most out of Copilot in your daily workflow?","Effective prompts and the right grounding"
"How should you treat content generated by Copilot?","As a draft and not a final product"
"What should you evaluate when seeing if a draft generated by Copilot is useful:Audience fit, Goal Alignment, Format fit, Accuracy.","Is it a good fit for your target audience? Does the content support the required decision or action you need?Is it in the proper format you need (a document, slide, or email) for how the audience will use it?Are all the facts, figures, and citations accurate?"
"What if Copilot did not generate something useful and fell short of one of the following: Audience fit, Goal Alignment, Format fit, Accuracy?","Refine your prompt or edit the draft manually"
"What does a Researcher agent do?","Conducts multi-step research and synthesizes findings into structured reports."
"How does Researcher agent differ from standard Copilot?","Researcher focuses on discovery, synthesis, and insights; the standard Copilot focuses on drafting and editing."
"What sources can the Researcher agent use together?","Web- and work-grounded data sources."
"What does it mean when Researcher can deliver structured reports?","It can create reports with organized headings, citations, and visual formatting. Basically, it can make it look nice with proper citations."
"What if you provide unclear requests to the Researcher?","It will ask clarifying questions before conducting research."
"What license is required for Researcher agent?","Microsoft 365 Copilot license"
"How many Researcher queries per month?","25"
"Can you refine the scope of Researchers work?","Yes, you can add follow-up prompts to add topics, time periods, risks, or other requirements"
"Once the research is complete, can it adapt the results for different audiences?","Yes, it can reformat its findings as slides, reports, emails, or other outputs."
"What is the primary benefit of using Copilot in Word, PowerPoint, and Outlook for business professionals?A. It replaces all manual editing and formatting. B. It streamlines content creation, improves productivity, and helps deliver high‑quality work efficiently. C. It only works for drafting emails. D. It is only available for external research.","B. It streamlines content creation, improves productivity, and helps deliver high‑quality work efficiently."
"When drafting a report in Word, how can you use Copilot to include industry trends?A. Only use work‑grounded data for all information. B. Use both work‑grounded prompts to summarize internal insights and web‑grounded prompts to gather external trends. C. Avoid referencing any external sources. D. Only use web‑grounded data for all information.","B. Use both work‑grounded prompts to summarize internal insights and web‑grounded prompts to gather external trends."
"What is the purpose of the Researcher agent in Microsoft Copilot?A. To edit slides in PowerPoint. B. To gather, analyze, and summarize information from both work and web sources, delivering structured reports with citations. C. To send emails automatically. D. To delete old documents.","B. To gather, analyze, and summarize information from both work and web sources, delivering structured reports with citations."
"How can Copilot help you visualize data in a Word document?A. By converting text into a table and refining formatting with follow‑up prompts. B. By deleting all text and starting over. C. By only providing bullet points. D. By sending the document to PowerPoint automatically.","A. By converting text into a table and refining formatting with follow‑up prompts."
"Exported from Quizlet Exporter","https://chromewebstore.google.com"
